Year,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020,Afghanistan,EMRO,0,52330,0,2189
2020,Albania,EURO,581,57727,4,1174
2020,Algeria,AFRO,705,99311,9,2751
2020,American Samoa,WPRO,0,0,0,0
2020,Andorra,EURO,64,7983,0,84
2020,Angola,AFRO,62,17433,2,405
2020,Anguilla,AMRO,0,13,0,0
2020,Antigua and Barbuda,AMRO,0,158,0,5
2020,Argentina,AMRO,6969,1674319,113,48271
2020,Armenia,EURO,531,159409,16,2823
2020,Aruba,AMRO,50,5373,0,49
2020,Australia,WPRO,31,28381,0,909
2020,Austria,EURO,2964,352667,83,7382
2020,Azerbaijan,EURO,1101,216584,37,2575
2020,Bahamas,AMRO,11,7857,0,170
2020,Bahrain,EMRO,256,92425,1,352
2020,Bangladesh,SEARO,1014,513510,28,7559
2020,Barbados,AMRO,7,372,0,7
2020,Belarus,EURO,1957,192361,10,1414
2020,Belgium,EURO,2270,646434,77,19674
2020,Belize,AMRO,77,10668,5,241
2020,Benin,AFRO,0,3251,0,44
2020,Bermuda,AMRO,14,595,0,10
2020,Bhutan,SEARO,15,670,0,0
2020,Bolivia (Plurinational State of),AMRO,1293,156887,29,9135
2020,Bonaire,AMRO,3,162,0,3
2020,Bosnia and Herzegovina,EURO,531,110985,26,4050
2020,Botswana,AFRO,287,14637,1,43
2020,Brazil,AMRO,58718,7563551,1111,192681
2020,British Virgin Islands,AMRO,0,93,0,1
2020,Brunei Darussalam,WPRO,5,157,0,3
2020,Bulgaria,EURO,1729,201220,110,7515
2020,Burkina Faso,AFRO,76,6707,3,85
2020,Burundi,AFRO,2,818,0,2
2020,Cabo Verde,AFRO,41,11793,0,112
2020,Cambodia,WPRO,2,366,0,0
2020,Cameroon,AFRO,571,26848,0,448
2020,Canada,AMRO,6441,565504,156,15274
2020,Cayman Islands,AMRO,8,326,0,2
2020,Central African Republic,AFRO,2,5818,0,63
2020,Chad,AFRO,29,2077,0,105
2020,Chile,AMRO,1964,605950,11,16499
2020,China,WPRO,81,96673,4,4788
2020,Colombia,AMRO,11015,1614822,246,42620
2020,Comoros,AFRO,0,695,0,9
2020,Congo,AFRO,18,6431,0,100
2020,Cook Islands,WPRO,0,0,0,0
2020,Costa Rica,AMRO,1037,166799,12,2156
2020,Côte d’Ivoire,AFRO,0,22250,0,138
2020,Croatia,EURO,1850,208446,65,3860
2020,Cuba,AMRO,86,11687,2,145
2020,Curaçao,AMRO,28,4179,0,14
2020,Cyprus,EURO,1031,22347,2,122
2020,Czechia,EURO,17227,723581,150,11889
2020,Democratic People's Republic of Korea,SEARO,0,0,0,0
2020,Democratic Republic of the Congo,AFRO,283,17657,0,591
2020,Denmark,EURO,2783,161230,30,1256
2020,Djibouti,EMRO,11,5824,0,61
2020,Dominica,AMRO,0,96,0,0
2020,Dominican Republic,AMRO,1314,169579,4,2409
2020,Ecuador,AMRO,1186,211512,22,14023
2020,Egypt,EMRO,1411,136644,56,7576
2020,El Salvador,AMRO,545,45960,14,1327
2020,Equatorial Guinea,AFRO,13,5277,0,86
2020,Eritrea,AFRO,32,1252,0,1
2020,Estonia,EURO,732,28008,3,229
2020,Eswatini,AFRO,212,9144,9,185
2020,Ethiopia,AFRO,518,123856,5,1918
2020,Falkland Islands (Malvinas),AMRO,0,29,0,0
2020,Faroe Islands,EURO,4,608,0,0
2020,Fiji,WPRO,0,49,0,2
2020,Finland,EURO,255,36426,4,591
2020,France,EURO,1368,2564972,303,64004
2020,French Guiana,AMRO,149,13045,0,71
2020,French Polynesia,WPRO,56,16851,1,114
2020,Gabon,AFRO,61,9571,0,64
2020,Gambia,AFRO,3,3800,0,124
2020,Georgia,EURO,1527,227420,24,2505
2020,Germany,EURO,31049,1734474,1296,50411
2020,Ghana,AFRO,134,55064,0,335
2020,Gibraltar,EURO,87,1785,0,6
2020,Greece,EURO,942,137918,58,4788
2020,Greenland,EURO,0,27,0,0
2020,Grenada,AMRO,0,128,0,0
2020,Guadeloupe,AMRO,0,8620,0,155
2020,Guam,WPRO,15,7129,0,121
2020,Guatemala,AMRO,879,137166,22,4803
2020,Guernsey,EURO,1,298,0,16
2020,Guinea,AFRO,15,13722,1,81
2020,Guinea-Bissau,AFRO,0,2452,0,45
2020,Guyana,AMRO,3,6301,0,164
2020,Haiti,AMRO,0,9999,0,236
2020,Holy See,EURO,0,26,0,0
2020,Honduras,AMRO,809,120912,23,3111
2020,Hungary,EURO,2971,322514,108,9537
2020,Iceland,EURO,4,5767,0,29
2020,India,SEARO,21822,10266674,299,148738
2020,Indonesia,SEARO,8074,743198,194,22138
2020,Iran (Islamic Republic of),EMRO,6272,1218753,149,55095
2020,Iraq,EMRO,901,594442,8,12808
2020,Ireland,EURO,1720,91237,6,2270
2020,Isle of Man,EURO,1,379,0,35
2020,Israel,EURO,5869,419658,16,3336
2020,Italy,EURO,16202,2083689,575,73604
2020,Jamaica,AMRO,41,12793,4,302
2020,Japan,WPRO,3708,230304,65,3414
2020,Jersey,EURO,27,2727,1,42
2020,Jordan,EMRO,1674,293067,14,3815
2020,Kazakhstan,EURO,888,200443,0,2749
2020,Kenya,AFRO,112,96251,2,1667
2020,Kiribati,WPRO,0,0,0,0
2020,Kosovo[1],EURO,234,51101,7,1322
2020,Kuwait,EMRO,205,150298,1,933
2020,Kyrgyzstan,EURO,191,81034,1,1355
2020,Lao People's Democratic Republic,WPRO,0,41,0,0
2020,Latvia,EURO,1861,40904,9,635
2020,Lebanon,EMRO,2878,177996,13,1443
2020,Lesotho,AFRO,0,2577,0,64
2020,Liberia,AFRO,7,1854,0,89
2020,Libya,EMRO,585,99935,15,1459
2020,Liechtenstein,EURO,37,2192,2,43
2020,Lithuania,EURO,3478,141792,44,1743
2020,Luxembourg,EURO,325,46334,4,502
2020,Madagascar,AFRO,0,17714,0,261
2020,Malawi,AFRO,82,6471,1,189
2020,Malaysia,WPRO,1870,110485,6,463
2020,Maldives,SEARO,19,13757,0,48
2020,Mali,AFRO,233,7029,7,269
2020,Malta,EURO,59,12774,3,219
2020,Marshall Islands,WPRO,0,4,0,0
2020,Martinique,AMRO,0,6072,0,42
2020,Mauritania,AFRO,0,14191,0,340
2020,Mauritius,AFRO,0,527,0,10
2020,Mayotte,AFRO,0,5890,0,55
2020,Mexico,AMRO,16099,1496067,971,147623
2020,Micronesia (Federated States of),WPRO,0,0,0,0
2020,Monaco,EURO,26,853,0,3
2020,Mongolia,WPRO,20,1195,0,1
2020,Montenegro,EURO,352,47668,2,677
2020,Montserrat,AMRO,0,13,0,1
2020,Morocco,EMRO,2143,437332,41,7355
2020,Mozambique,AFRO,112,18485,2,165
2020,Myanmar,SEARO,890,124630,18,2682
2020,Namibia,AFRO,608,23932,2,208
2020,Nauru,WPRO,0,0,0,0
2020,Nepal,SEARO,534,260593,10,2758
2020,Netherlands,EURO,9449,785874,113,11296
2020,New Caledonia,WPRO,0,38,0,0
2020,New Zealand,WPRO,11,1807,0,25
2020,Nicaragua,AMRO,0,4829,0,165
2020,Niger,AFRO,0,3208,0,101
2020,Nigeria,AFRO,1016,86576,11,1278
2020,Niue,WPRO,0,0,0,0
2020,North Macedonia,EURO,536,83329,15,2503
2020,Northern Mariana Islands (Commonwealth of the),WPRO,0,122,0,2
2020,Norway,EURO,639,49784,0,436
2020,"occupied Palestinian territory, including east Jerusalem",EMRO,1539,154097,21,1500
2020,Oman,EMRO,86,128719,0,1497
2020,Other,Other,0,745,0,13
2020,Pakistan,EMRO,2155,477240,55,10047
2020,Palau,WPRO,0,0,0,0
2020,Panama,AMRO,4574,238279,41,3933
2020,Papua New Guinea,WPRO,0,780,0,9
2020,Paraguay,AMRO,762,106136,18,2220
2020,Peru,AMRO,1588,1010496,143,93066
2020,Philippines,WPRO,1005,472523,68,9230
2020,Pitcairn Islands,WPRO,0,0,0,0
2020,Poland,EURO,13397,1298021,532,28641
2020,Portugal,EURO,5487,386876,75,6840
2020,Puerto Rico,AMRO,789,81082,12,1666
2020,Qatar,EMRO,193,143621,0,245
2020,Republic of Korea,WPRO,967,60722,21,900
2020,Republic of Moldova,EURO,990,143841,99,3110
2020,Réunion,AFRO,0,8972,0,42
2020,Romania,EURO,4875,627941,127,15596
2020,Russian Federation,EURO,27747,3159297,593,57019
2020,Rwanda,AFRO,122,8250,7,86
2020,Saba,AMRO,0,5,0,0
2020,Saint Barthélemy,AMRO,0,189,0,0
2020,"Saint Helena, Ascension and Tristan da Cunha",AFRO,0,0,0,0
2020,Saint Kitts and Nevis,AMRO,0,32,0,0
2020,Saint Lucia,AMRO,9,340,0,5
2020,Saint Martin,AMRO,0,986,0,12
2020,Saint Pierre and Miquelon,AMRO,0,16,0,0
2020,Saint Vincent and the Grenadines,AMRO,2,115,0,0
2020,Samoa,WPRO,0,1,0,0
2020,San Marino,EURO,0,2401,0,59
2020,Sao Tome and Principe,AFRO,0,1014,0,17
2020,Saudi Arabia,EMRO,113,362601,10,6214
2020,Senegal,AFRO,139,18945,7,402
2020,Serbia,EURO,3236,334991,44,3163
2020,Seychelles,AFRO,0,226,0,0
2020,Sierra Leone,AFRO,14,2583,0,76
2020,Singapore,WPRO,27,58569,0,29
2020,Sint Eustatius,AMRO,0,19,0,0
2020,Sint Maarten,AMRO,12,1423,1,27
2020,Slovakia,EURO,6315,179543,73,2138
2020,Slovenia,EURO,2429,122262,28,2984
2020,Solomon Islands,WPRO,0,17,0,0
2020,Somalia,EMRO,24,4714,3,130
2020,South Africa,AFRO,17710,1039161,465,28033
2020,South Sudan,AFRO,15,3540,0,64
2020,Spain,EURO,18984,1955216,166,54459
2020,Sri Lanka,SEARO,597,43299,5,204
2020,Sudan,EMRO,262,25500,12,1561
2020,Suriname,AMRO,85,6098,0,120
2020,Sweden,EURO,8872,437300,73,9616
2020,Switzerland,EURO,4463,446936,78,7436
2020,Syrian Arab Republic,EMRO,101,11344,8,704
2020,Tajikistan,EURO,3,13665,0,90
2020,Thailand,SEARO,194,6884,0,61
2020,The United Kingdom,EURO,83090,2563566,659,75240
2020,Timor-Leste,SEARO,0,44,0,0
2020,Togo,AFRO,7,3611,0,68
2020,Tokelau,WPRO,0,0,0,0
2020,Tonga,WPRO,0,0,0,0
2020,Trinidad and Tobago,AMRO,5,7132,1,126
2020,Tunisia,EMRO,2414,137216,50,4620
2020,Türkiye,EURO,15692,2194272,254,20642
2020,Turkmenistan,EURO,0,0,0,0
2020,Turks and Caicos Islands,AMRO,0,865,0,6
2020,Tuvalu,WPRO,0,0,0,0
2020,Uganda,AFRO,539,35220,1,304
2020,Ukraine,EURO,9699,1055047,209,18533
2020,United Arab Emirates,EMRO,1723,206092,3,665
2020,United Republic of Tanzania,AFRO,0,509,0,21
2020,United States of America,AMRO,208904,19577585,3351,352004
2020,United States Virgin Islands,AMRO,6,2010,0,23
2020,Uruguay,AMRO,656,17962,8,168
2020,Uzbekistan,EURO,75,77060,0,614
2020,Vanuatu,WPRO,0,1,0,0
2020,Venezuela (Bolivarian Republic of),AMRO,225,112861,3,1021
2020,Viet Nam,WPRO,2,1456,0,35
2020,Wallis and Futuna,WPRO,0,4,0,0
2020,Yemen,EMRO,1,2101,0,611
2020,Zambia,AFRO,285,20462,1,386
2020,Zimbabwe,AFRO,300,13625,1,360
2021,Afghanistan,EMRO,20,158059,0,7356
2021,Albania,EURO,617,209516,3,3215
2021,Algeria,AFRO,390,218037,8,6271
2021,American Samoa,WPRO,0,11,0,0
2021,Andorra,EURO,299,23122,0,140
2021,Angola,AFRO,0,76787,0,1757
2021,Anguilla,AMRO,0,1674,0,5
2021,Antigua and Barbuda,AMRO,0,4295,0,119
2021,Argentina,AMRO,35664,5780522,49,118176
2021,Armenia,EURO,104,344930,4,7972
2021,Aruba,AMRO,671,19021,0,181
2021,Australia,WPRO,21222,362558,16,2226
2021,Austria,EURO,3167,1264535,17,16684
