Year,Country,WHO_region,Population,Cumulative_cases_2022,Cumulative_deaths_2022,US_option
2022,United States of America,AMRO,334233854,99027628,1080010,Including the US
2022,India,SEARO,1420600000,44676678,530690,Excluding the US
2022,France,EURO,67975000,37988187,157364,Excluding the US
2022,Germany,EURO,84270625,37177845,160611,Excluding the US
2022,Brazil,AMRO,215589950,36044441,692461,Excluding the US
2022,Republic of Korea,WPRO,51638809,28534558,31674,Excluding the US
2022,Japan,WPRO,125104000,27765782,54365,Excluding the US
2022,Italy,EURO,58853482,24884034,183138,Excluding the US
2022,The United Kingdom,EURO,67026292,24135084,198937,Excluding the US
2022,Russian Federation,EURO,145100000,21750711,393277,Excluding the US
2022,Türkiye,EURO,84680273,17004677,101419,Excluding the US
2022,Spain,EURO,47615034,13651239,116658,Excluding the US
2022,Viet Nam,WPRO,98506193,11523567,43181,Excluding the US
2022,Australia,WPRO,26025238,10938096,15718,Excluding the US
2022,China,WPRO,1412600000,10167676,31585,Excluding the US
2022,Argentina,AMRO,47327407,9829236,130080,Excluding the US
2022,Netherlands,EURO,17780610,8559116,22953,Excluding the US
2022,Iran (Islamic Republic of),EMRO,86070176,7560629,144672,Excluding the US
2022,Mexico,AMRO,128533664,7196485,330834,Excluding the US
2022,Indonesia,SEARO,275773800,6713879,160488,Excluding the US
2022,Poland,EURO,37796000,6364708,118467,Excluding the US
2022,Colombia,AMRO,51049498,6330409,141996,Excluding the US
2022,Austria,EURO,9090868,5668157,21348,Excluding the US
2022,Portugal,EURO,10344802,5554058,25714,Excluding the US
2022,Greece,EURO,10432481,5548487,34779,Excluding the US
2022,Ukraine,EURO,41130432,5354738,110766,Excluding the US
2022,Malaysia,WPRO,32761600,5021242,36824,Excluding the US
2022,Chile,AMRO,19828563,4997056,62963,Excluding the US
2022,Israel,EURO,9656480,4754934,11988,Excluding the US
2022,Thailand,SEARO,66877655,4718908,33505,Excluding the US
2022,Belgium,EURO,11671737,4668248,33228,Excluding the US
2022,Czechia,EURO,10525739,4576689,42063,Excluding the US
2022,Canada,AMRO,39064120,4457366,48645,Excluding the US
2022,Peru,AMRO,33396698,4430160,217960,Excluding the US
2022,Switzerland,EURO,8789726,4365587,13801,Excluding the US
2022,Philippines,WPRO,112895978,4059369,65172,Excluding the US
2022,South Africa,AFRO,60604992,4046603,102550,Excluding the US
2022,Denmark,EURO,5928364,3379211,7691,Excluding the US
2022,Romania,EURO,19053815,3305048,67341,Excluding the US
2022,Sweden,EURO,10514692,2665176,21627,Excluding the US
2022,Iraq,EMRO,41190700,2464997,25369,Excluding the US
2022,Serbia,EURO,6690887,2438130,17480,Excluding the US
2022,Singapore,WPRO,5453600,2193890,1710,Excluding the US
2022,Hungary,EURO,9689000,2181419,48439,Excluding the US
2022,Bangladesh,SEARO,165158616,2037011,29438,Excluding the US
2022,New Zealand,WPRO,5136989,2027981,2288,Excluding the US
2022,Slovakia,EURO,5431235,1858531,20797,Excluding the US
2022,Georgia,EURO,3688600,1808820,16897,Excluding the US
2022,Jordan,EMRO,11376292,1746997,14122,Excluding the US
2022,Ireland,EURO,5123536,1687668,8293,Excluding the US
2022,Pakistan,EMRO,235825000,1575486,30635,Excluding the US
2022,Kazakhstan,EURO,19381792,1491711,19057,Excluding the US
2022,Norway,EURO,5475240,1473504,4670,Excluding the US
2022,Finland,EURO,5528796,1438205,7933,Excluding the US
2022,Slovenia,EURO,2108977,1297794,8708,Excluding the US
2022,Bulgaria,EURO,6520314,1290967,38089,Excluding the US
2022,Lithuania,EURO,2839020,1285267,9466,Excluding the US
2022,Morocco,EMRO,36824860,1271017,16294,Excluding the US
2022,Croatia,EURO,3871833,1260837,17492,Excluding the US
2022,Lebanon,EMRO,5490000,1221791,10743,Excluding the US
2022,Guatemala,AMRO,17109746,1190610,19987,Excluding the US
2022,Costa Rica,AMRO,5163038,1161687,9072,Excluding the US
2022,Tunisia,EMRO,11803588,1147477,29279,Excluding the US
2022,Bolivia (Plurinational State of),AMRO,12006031,1140832,22277,Excluding the US
2022,Cuba,AMRO,11113215,1111757,8530,Excluding the US
2022,United Arab Emirates,EMRO,9282410,1046359,2348,Excluding the US
2022,Puerto Rico,AMRO,3285874,1042874,5499,Excluding the US
2022,Ecuador,AMRO,18135428,1031449,35913,Excluding the US
2022,Panama,AMRO,4278500,1020961,8554,Excluding the US
2022,Mongolia,WPRO,3475146,1007266,2136,Excluding the US
2022,Uruguay,AMRO,3554915,1002988,7552,Excluding the US
2022,Nepal,SEARO,29192480,1000962,12019,Excluding the US
2022,Belarus,EURO,9255524,994037,7118,Excluding the US
2022,Latvia,EURO,1895400,972561,6143,Excluding the US
2022,Saudi Arabia,EMRO,35013414,826667,9502,Excluding the US
2022,Azerbaijan,EURO,10204774,825737,10002,Excluding the US
2022,Paraguay,AMRO,7353038,720204,19655,Excluding the US
2022,"occupied Palestinian territory, including east Jerusalem",EMRO,5227193,703228,5708,Excluding the US
2022,Bahrain,EMRO,1501635,696614,1536,Excluding the US
2022,Sri Lanka,SEARO,22156000,671838,16814,Excluding the US
2022,Kuwait,EMRO,4670713,662747,2570,Excluding the US
2022,Dominican Republic,AMRO,10535535,655540,4384,Excluding the US
2022,Myanmar,SEARO,55294979,633590,19489,Excluding the US
2022,Cyprus,EURO,918100,628509,1255,Excluding the US
2022,Estonia,EURO,1331796,611291,2837,Excluding the US
