year,country,who_region,v4,gdp,population,cumulative_cases_2022,cumulative_deaths_2022,log_cum_case,log_population,log_gdp,log_cum_deaths,median_age,_merge,infection_rate
2022,United States of America,AMRO,Region of the Americas,21372.6,334233854,99027628,1080010,18.41091,19.627352,9.9698648,13.892481,37.254,matched (3),0.296282459
2022,China,WPRO,Western Pacific Region,14340.6,1412600000,10167676,31585,16.134724,21.068697,9.5708504,10.360437,36.966,matched (3),0.007197845
2022,Japan,WPRO,Western Pacific Region,5120.3101,125104000,27765782,54365,17.139315,18.644655,8.5409698,10.903476,47.572,matched (3),0.221941601
2022,Germany,EURO,European Region,3888.655,84270625,37177845,160611,17.431223,18.249544,8.2658186,11.98674,44.994,matched (3),0.441172057
2022,United Kingdom,EURO,European Region,2880.3569,67026292,24135084,198937,16.999178,18.020596,7.9656696,12.200744,39.275,matched (3),0.360083831
2022,India,SEARO,South-East Asian Region,2831.553,1420600000,44676678,530690,17.614962,21.074345,7.9485807,13.181933,26.929,matched (3),0.031449161
2022,France,EURO,European Region,2729.1709,67975000,37988187,157364,17.452785,18.034651,7.9117532,11.966317,41.218,matched (3),0.55885527
2022,Italy,EURO,European Region,2011.507,58853482,24884034,183138,17.029737,17.890562,7.6066394,12.117995,45.994,matched (3),0.422813284
2022,Brazil,AMRO,Region of the Americas,1873.286,215589950,36044441,692461,17.400263,19.188889,7.5354495,13.448008,31.999,matched (3),0.167189802
2022,Canada,AMRO,Region of the Americas,1742.015,39064120,4457366,48645,15.310068,17.480715,7.4627976,10.792304,39.806,matched (3),0.114103837
2022,Russian Federation,EURO,European Region,1695.724,145100000,21750711,393277,16.895157,18.792934,7.4358649,12.88227,38.34,matched (3),0.149901523
2022,Republic of Korea,WPRO,Western Pacific Region,1651.423,51638809,28534558,31674,17.166626,17.759785,7.4093928,10.363252,42.167,matched (3),0.552579708
2022,Spain,EURO,European Region,1393.2,47615034,13651239,116658,16.42934,17.678659,7.2393584,11.667002,43.127,matched (3),0.286700184
2022,Australia,WPRO,Western Pacific Region,1386.697,26025238,10938096,15718,16.207762,17.074577,7.2346802,9.6625614,36.428,matched (3),0.42028803
2022,Mexico,AMRO,Region of the Americas,1269.01,128533664,7196485,330834,15.789104,18.671701,7.1459923,12.709372,28.371,matched (3),0.055989106
2022,Indonesia,SEARO,South-East Asian Region,1119.452,275773800,6713879,160488,15.719687,19.435091,7.0205946,11.985974,29.017,matched (3),0.024345601
2022,Netherlands,EURO,European Region,910.29498,17780610,8559116,22953,15.962507,16.693619,6.8137689,10.041203,41.636,matched (3),0.481373586
2022,Saudi Arabia,EMRO,Eastern Mediterranean Region,803.61603,35013414,826667,9502,13.625157,17.371243,6.6891217,9.1592579,28.919,matched (3),0.023610008
2022,Türkiye,EURO,European Region,759.45001,84680273,17004677,101419,16.648998,18.254393,6.6325946,11.527016,30.181,matched (3),0.200810371
2022,Switzerland,EURO,European Region,721.85101,8789726,4365587,13801,15.289263,15.989094,6.5818186,9.5324965,41.569,matched (3),0.496669293
2022,Iran (Islamic Republic of),EMRO,Eastern Mediterranean Region,651.52399,86070176,7560629,144672,15.838465,18.270674,6.4793143,11.882224,30.845,matched (3),0.087842611
2022,Poland,EURO,European Region,597.19397,37796000,6364708,118467,15.666279,17.447714,6.392242,11.682389,40.17,matched (3),0.168396338
2022,Thailand,SEARO,South-East Asian Region,544.02698,66877655,4718908,33505,15.367088,18.018375,6.2989988,10.41945,38.346,matched (3),0.070560309
2022,Belgium,EURO,European Region,535.43701,11671737,4668248,33228,15.356295,16.27268,6.2830834,10.411148,40.709,matched (3),0.399961719
2022,Sweden,EURO,European Region,533.88,10514692,2665176,21627,14.79578,16.168283,6.2801709,9.981698,39.558,matched (3),0.253471619
2022,Argentina,AMRO,Region of the Americas,451.815,47327407,9829236,130080,16.100872,17.6726,6.1132727,11.775905,30.781,matched (3),0.207685919
2022,Nigeria,AFRO,African Region,448.12,218541000,266381,3155,12.492682,19.202484,6.1050611,8.0567436,16.855,matched (3),0.001218906
2022,Austria,EURO,European Region,445.061,9090868,5668157,21348,15.550375,16.022781,6.0982113,9.9687138,42.428,matched (3),0.623500088
2022,United Arab Emirates,EMRO,Eastern Mediterranean Region,417.216,9282410,1046359,2348,13.860827,16.043633,6.0336041,7.7613192,31.342,matched (3),0.112724928
2022,Norway,EURO,European Region,404.94101,5475240,1473504,4670,14.203154,15.515747,6.0037413,8.4489145,38.798,matched (3),0.269121354
2022,Israel,EURO,European Region,402.47,9656480,4754934,11988,15.374693,16.083139,5.9976206,9.3916616,28.961,matched (3),0.492408621
2022,Ireland,EURO,European Region,399.366,5123536,1687668,8293,14.338859,15.449355,5.9898782,9.0231667,36.882,matched (3),0.329395168
2022,South Africa,AFRO,African Region,388.44601,60604992,4046603,102550,15.213388,17.919888,5.9621544,11.538106,26.635,matched (3),0.066770127
2022,Philippines,WPRO,Western Pacific Region,376.823,112895978,4059369,65172,15.216538,18.541977,5.9317756,11.084785,24.013,matched (3),0.035956719
2022,Singapore,WPRO,Western Pacific Region,375.48401,5453600,2193890,1710,14.601187,15.511786,5.928216,7.4442487,40.712,matched (3),0.402282896
2022,Malaysia,WPRO,Western Pacific Region,365.28299,32761600,5021242,36824,15.429188,17.304768,5.9006724,10.513906,29.026,matched (3),0.15326608
2022,Bangladesh,SEARO,South-East Asian Region,351.23801,165158616,2037011,29438,14.526994,18.922417,5.861464,10.290042,25.537,matched (3),0.012333665
2022,Denmark,EURO,European Region,346.49899,5928364,3379211,7691,15.033153,15.595259,5.8478799,8.9478064,41.144,matched (3),0.570007341
2022,Viet Nam,WPRO,Western Pacific Region,327.87299,98506193,11523567,43181,16.259905,18.40563,5.7926264,10.673156,31.243,matched (3),0.116983173
2022,Colombia,AMRO,Region of the Americas,323.05499,51049498,6330409,141996,15.660875,17.748306,5.7778225,11.863554,30.038,matched (3),0.124005313
2022,Pakistan,EMRO,Eastern Mediterranean Region,321.07101,235825000,1575486,30635,14.270074,19.278601,5.7716622,10.329899,19.801,matched (3),0.006680742
2022,Egypt,EMRO,Eastern Mediterranean Region,317.89499,104267855,515493,24801,13.152879,18.462473,5.7617211,10.118639,23.67,matched (3),0.00494393
2022,Chile,AMRO,Region of the Americas,278.34698,19828563,4997056,62963,15.424359,16.802633,5.6288686,11.050303,34.265,matched (3),0.252013018
2022,Finland,EURO,European Region,268.54501,5528796,1438205,7933,14.178906,15.52548,5.5930185,8.9787865,41.973,matched (3),0.260129873
2022,Czechia,EURO,European Region,252.548,10525739,4576689,42063,15.336487,16.169334,5.5316014,10.646924,41.88,matched (3),0.43480928
2022,Romania,EURO,European Region,249.88,19053815,3305048,67341,15.010962,16.762777,5.5209808,11.117524,41.334,matched (3),0.173458596
2022,Portugal,EURO,European Region,240.013,10344802,5554058,25714,15.53004,16.151995,5.4806929,10.154791,44.362,matched (3),0.536893601
2022,Iraq,EMRO,Eastern Mediterranean Region,233.66901,41190700,2464997,25369,14.717701,17.533724,5.4539056,10.141283,19.362,matched (3),0.059843533
2022,Peru,AMRO,Region of the Americas,232.345,33396698,4430160,217960,15.303946,17.323967,5.4482231,12.292067,27.694,matched (3),0.132652635
2022,New Zealand,WPRO,Western Pacific Region,211.105,5136989,2027981,2288,14.522552,15.451978,5.3523555,7.7354336,36.22,matched (3),0.394780094
2022,Greece,EURO,European Region,205.166,10432481,5548487,34779,15.529036,16.160435,5.3238196,10.456769,43.949,matched (3),0.531847314
2022,Kazakhstan,EURO,European Region,181.66701,19381792,1491711,19057,14.215434,16.779844,5.2021751,9.8551893,29.381,matched (3),0.076964555
2022,Qatar,EMRO,Eastern Mediterranean Region,176.371,2799202,487321,685,13.096679,14.844845,5.1725898,6.5294189,31.201,matched (3),0.174092831
2022,Algeria,AFRO,African Region,171.67999,45400000,271179,6881,12.510534,17.631023,5.1456323,8.8365192,27.409,matched (3),0.005973106
2022,Hungary,EURO,European Region,163.517,9689000,2181419,48439,14.595486,16.086502,5.0969172,10.78806,42.121,matched (3),0.225143874
2022,Ukraine,EURO,European Region,153.99699,41130432,5354738,110766,15.493492,17.532259,5.0369329,11.615175,40.229,matched (3),0.130189199
2022,Kuwait,EMRO,Eastern Mediterranean Region,136.192,4670713,662747,2570,13.404149,15.356822,4.9140658,7.8516612,36.152,matched (3),0.141894182
2022,Morocco,EMRO,Eastern Mediterranean Region,128.92,36824860,1271017,16294,14.055328,17.421684,4.8591919,9.6985521,28.009,matched (3),0.034515189
2022,Ecuador,AMRO,Region of the Americas,108.108,18135428,1031449,35913,13.846476,16.713377,4.6831307,10.488854,26.885,matched (3),0.056874809
2022,Slovakia,EURO,European Region,105.296,5431235,1858531,20797,14.435297,15.507677,4.6567755,9.942564,39.823,matched (3),0.342193074
2022,Puerto Rico,AMRO,Region of the Americas,104.915,3285874,1042874,5499,13.857491,15.005143,4.6531506,8.6123219,43.169,matched (3),0.317381007
2022,Kenya,AFRO,African Region,100.328,47564296,342336,5688,12.743548,17.677593,4.6084447,8.6461143,18.702,matched (3),0.007197331
2022,Ethiopia,AFRO,African Region,92.608002,105163988,495348,7572,13.113016,18.471031,4.5283756,8.9322128,18.072,matched (3),0.004710244
2022,Dominican Republic,AMRO,Region of the Americas,89.031998,10535535,655540,4384,13.393214,16.170265,4.488996,8.3857164,26.486,matched (3),0.062221805
2022,Sri Lanka,SEARO,South-East Asian Region,89.014999,22156000,671838,16814,13.417772,16.913618,4.4888048,9.7299671,31.952,matched (3),0.030323073
2022,Oman,EMRO,Eastern Mediterranean Region,88.060997,4527446,399154,4628,12.897102,15.325668,4.4780297,8.4398804,28.838,matched (3),0.088163172
2022,Angola,AFRO,African Region,84.515999,33086278,104973,1928,11.561459,17.314629,4.4369407,7.5642385,16.115,matched (3),0.003172705
2022,Guatemala,AMRO,Region of the Americas,77.153999,17109746,1190610,19987,13.989976,16.655159,4.3458033,9.9028378,21.375,matched (3),0.069586655
2022,Venezuela (Bolivarian Republic of),AMRO,Region of the Americas,74.417999,28302000,549548,5830,13.216851,17.158443,4.3096976,8.6707726,27.47,matched (3),0.019417285
2022,Luxembourg,EURO,European Region,70.203003,645397,311746,1178,12.649944,13.377621,4.2513909,7.0715733,38.481,matched (3),0.483029825
2022,Libya,EMRO,Eastern Mediterranean Region,69.240997,6812000,507121,6437,13.136505,15.734197,4.2375932,8.7698183,25.842,matched (3),0.074445244
2022,Bulgaria,EURO,European Region,68.918999,6520314,1290967,38089,14.070902,15.690434,4.2329321,10.547681,43.919,matched (3),0.197991538
2022,Myanmar,SEARO,South-East Asian Region,68.802002,55294979,633590,19489,13.359158,17.828192,4.2312326,9.8776054,28.47,matched (3),0.011458364
