Year,,Country,WHO_region,Population,Cumulative_cases_2022,Cumulative_deaths_2022
2022,18.876,Afghanistan,EMRO,32890171,207214,7845
2022,15.399,Albania,EURO,2829741,332553,3594
2022,171.68,Algeria,AFRO,45400000,271179,6881
2022,,American Samoa,WPRO,49710,8266,34
2022,3.155,Andorra,EURO,81057,47686,165
2022,84.516,Angola,AFRO,33086278,104973,1928
2022,,Anguilla,AMRO,15701,3904,12
2022,1.688,Antigua and Barbuda,AMRO,100772,9106,146
2022,451.815,Argentina,AMRO,47327407,9829236,130080
2022,13.619,Armenia,EURO,2963900,445881,8712
2022,3.369,Aruba,AMRO,111050,43752,280
2022,1386.697,Australia,WPRO,26025238,10938096,15718
2022,445.061,Austria,EURO,9090868,5668157,21348
2022,48.174,Azerbaijan,EURO,10204774,825737,10002
2022,13.193,Bahamas,AMRO,393450,37491,833
2022,38.653,Bahrain,EMRO,1501635,696614,1536
2022,351.238,Bangladesh,SEARO,165158616,2037011,29438
2022,5.298,Barbados,AMRO,282000,104416,567
2022,64.414,Belarus,EURO,9255524,994037,7118
2022,535.437,Belgium,EURO,11671737,4668248,33228
2022,2.371,Belize,AMRO,441471,69675,688
2022,14.392,Benin,AFRO,12506347,27982,163
2022,,Bermuda,AMRO,64055,18557,152
2022,2.452,Bhutan,SEARO,763200,62524,21
2022,41.193,Bolivia (Plurinational State of),AMRO,12006031,1140832,22277
2022,20.203,Bosnia and Herzegovina,EURO,3320954,400868,16221
2022,16.696,Botswana,AFRO,2410338,327471,2786
2022,1873.286,Brazil,AMRO,215589950,36044441,692461
2022,,British Virgin Islands,AMRO,31000,7305,64
2022,13.469,Brunei Darussalam,WPRO,429999,266819,146
2022,68.919,Bulgaria,EURO,6520314,1290967,38089
2022,15.991,Burkina Faso,AFRO,21510181,22006,395
2022,3.012,Burundi,AFRO,12574571,51722,15
2022,2.172,Cabo Verde,AFRO,563198,63173,412
2022,27.087,Cambodia,WPRO,15552211,138467,3056
2022,39.673,Cameroon,AFRO,24348251,123993,1965
2022,1742.015,Canada,AMRO,39064120,4457366,48645
2022,,Cayman Islands,AMRO,71105,31472,37
2022,2.278,Central African Republic,AFRO,5633412,15310,113
2022,10.993,Chad,AFRO,16818391,7649,194
2022,278.347,Chile,AMRO,19828563,4997056,62963
2022,14340.6,China,WPRO,1412600000,10167676,31585
2022,323.055,Colombia,AMRO,51049498,6330409,141996
2022,1.188,Comoros,AFRO,758316,8979,160
2022,12.791,Congo,AFRO,5970000,24775,386
2022,,Cook Islands,WPRO,15040,6607,1
2022,64.412,Costa Rica,AMRO,5163038,1161687,9072
2022,62.246,Croatia,EURO,3871833,1260837,17492
2022,,Cuba,AMRO,11113215,1111757,8530
2022,,Curaçao,AMRO,153671,45707,299
2022,25.762,Cyprus,EURO,918100,628509,1255
2022,252.548,Czechia,EURO,10525739,4576689,42063
2022,346.499,Denmark,EURO,5928364,3379211,7691
2022,3.089,Djibouti,EMRO,976107,15690,189
2022,0.612,Dominica,AMRO,73000,15760,74
2022,89.032,Dominican Republic,AMRO,10535535,655540,4384
2022,50.399,DR Congo,AFRO,99010000,94969,1461
2022,108.108,Ecuador,AMRO,18135428,1031449,35913
2022,317.895,Egypt,EMRO,104267855,515493,24801
2022,26.881,El Salvador,AMRO,6825935,201785,4230
2022,11.364,Equatorial Guinea,AFRO,1505588,17089,183
2022,1.982,Eritrea,AFRO,3684000,10189,103
2022,31.085,Estonia,EURO,1331796,611291,2837
2022,4.495,Eswatini,AFRO,1202000,73992,1422
2022,92.608,Ethiopia,AFRO,105163988,495348,7572
2022,,Falkland Islands (Malvinas),AMRO,3800,1923,0
2022,,Faroe Islands,EURO,54159,34658,28
2022,5.482,Fiji,WPRO,898402,68702,881
2022,268.545,Finland,EURO,5528796,1438205,7933
2022,2729.171,France,EURO,67975000,37988187,157364
2022,,French Guiana,AMRO,,97526,411
2022,,French Polynesia,WPRO,279890,77910,649
2022,16.875,Gabon,AFRO,2233272,48973,306
2022,1.806,Gambia,AFRO,2706000,12586,372
2022,17.477,Georgia,EURO,3688600,1808820,16897
2022,3888.655,Germany,EURO,84270625,37177845,160611
2022,68.353,Ghana,AFRO,30832019,171038,1461
2022,,Gibraltar,EURO,33000,20252,110
2022,205.166,Greece,EURO,10432481,5548487,34779
2022,,Greenland,EURO,56619,11971,21
2022,1.213,Grenada,AMRO,125000,19644,238
2022,,Guadeloupe,AMRO,,198608,997
2022,,Guam,WPRO,153836,49851,411
2022,77.154,Guatemala,AMRO,17109746,1190610,19987
2022,,Guernsey,EURO,63823,33910,66
2022,13.443,Guinea,AFRO,12907395,38191,465
2022,1.487,Guinea-Bissau,AFRO,1646077,8848,176
2022,5.174,Guyana,AMRO,743699,71963,1286
2022,14.787,Haiti,AMRO,11743017,33893,860
2022,,Holy See,EURO,,26,0
2022,25.091,Honduras,AMRO,9546178,463685,11063
2022,163.517,Hungary,EURO,9689000,2181419,48439
2022,24.826,Iceland,EURO,385230,207974,229
2022,2831.553,India,SEARO,1420600000,44676678,530690
2022,1119.452,Indonesia,SEARO,275773800,6713879,160488
2022,651.524,Iran (Islamic Republic of),EMRO,86070176,7560629,144672
2022,233.669,Iraq,EMRO,41190700,2464997,25369
2022,399.366,Ireland,EURO,5123536,1687668,8293
2022,,Isle of Man,EURO,84069,38008,116
2022,402.47,Israel,EURO,9656480,4754934,11988
2022,2011.507,Italy,EURO,58853482,24884034,183138
2022,15.808,Jamaica,AMRO,2734093,152758,3461
2022,5120.31,Japan,WPRO,125104000,27765782,54365
2022,,Jersey,EURO,107800,65130,146
2022,44.566,Jordan,EMRO,11376292,1746997,14122
2022,181.667,Kazakhstan,EURO,19381792,1491711,19057
2022,100.328,Kenya,AFRO,47564296,342336,5688
2022,0.178,Kiribati,WPRO,120740,3430,13
2022,7.9,Kosovo,EURO,1798188,272200,3192
2022,136.192,Kuwait,EMRO,4670713,662747,2570
2022,8.872,Kyrgyzstan,EURO,7000000,206557,2991
2022,18.791,Lao People's Democratic Republic,WPRO,7337783,217586,757
2022,34.313,Latvia,EURO,1895400,972561,6143
2022,50.88,Lebanon,EMRO,5490000,1221791,10743
2022,2.299,Lesotho,AFRO,2306000,34490,706
2022,3.08,Liberia,AFRO,4661010,8043,294
2022,69.241,Libya,EMRO,6812000,507121,6437
2022,,Liechtenstein,EURO,39444,21228,87
2022,54.703,Lithuania,EURO,2839020,1285267,9466
2022,70.203,Luxembourg,EURO,645397,311746,1178
2022,14.105,Madagascar,AFRO,26923353,67684,1415
2022,11.031,Malawi,AFRO,21507723,88123,2685
2022,365.283,Malaysia,WPRO,32761600,5021242,36824
2022,5.598,Maldives,SEARO,383135,185666,311
2022,17.281,Mali,AFRO,22594000,32767,743
2022,15.728,Malta,EURO,519562,116212,813
2022,0.236,Marshall Islands,WPRO,39262,15547,17
2022,,Martinique,AMRO,,224826,1076
2022,8.065,Mauritania,AFRO,4271197,63423,997
2022,14.046,Mauritius,AFRO,1266334,289980,1039
2022,,Mayotte,AFRO,,41969,187
2022,1269.01,Mexico,AMRO,128533664,7196485,330834
2022,0.416,Micronesia (Federated States of),WPRO,105754,22069,58
2022,,Monaco,EURO,39150,15897,65
2022,14.206,Mongolia,WPRO,3475146,1007266,2136
2022,5.543,Montenegro,EURO,621306,284464,2790
2022,,Montserrat,AMRO,4400,1403,8
2022,128.92,Morocco,EMRO,36824860,1271017,16294
2022,15.39,Mozambique,AFRO,31616078,230918,2229
2022,68.802,Myanmar,SEARO,55294979,633590,19489
2022,12.539,Namibia,AFRO,2550226,170164,4080
2022,0.119,Nauru,WPRO,11832,4621,1
2022,34.186,Nepal,SEARO,29192480,1000962,12019
2022,910.295,Netherlands,EURO,17780610,8559116,22953
2022,,New Caledonia,WPRO,273674,79162,314
2022,211.105,New Zealand,WPRO,5136989,2027981,2288
2022,12.611,Nicaragua,AMRO,6595674,15365,245
2022,12.912,Niger,AFRO,24112753,9473,314
2022,448.12,Nigeria,AFRO,218541000,266381,3155
2022,,Niue,WPRO,1549,335,0
2022,,North Korea,SEARO,25660000,0,0
2022,12.609,North Macedonia,EURO,1832696,345402,9608
2022,,Northern Mariana Islands (Commonwealth of the),WPRO,47329,13236,41
2022,404.941,Norway,EURO,5475240,1473504,4670
2022,,"occupied Palestinian territory, including east Jerusalem",EMRO,5227193,703228,5708
2022,88.061,Oman,EMRO,4527446,399154,4628
2022,321.071,Pakistan,EMRO,235825000,1575486,30635
2022,0.279,Palau,WPRO,16733,5955,9
2022,66.984,Panama,AMRO,4278500,1020961,8554
2022,24.751,Papua New Guinea,WPRO,9122994,46663,669
2022,37.907,Paraguay,AMRO,7353038,720204,19655
2022,232.345,Peru,AMRO,33396698,4430160,217960
2022,376.823,Philippines,WPRO,112895978,4059369,65172
2022,,Pitcairn Islands,WPRO,47,4,0
2022,597.194,Poland,EURO,37796000,6364708,118467
2022,240.013,Portugal,EURO,10344802,5554058,25714
2022,104.915,Puerto Rico,AMRO,3285874,1042874,5499
2022,176.371,Qatar,EMRO,2799202,487321,685
2022,1651.423,Republic of Korea,WPRO,51638809,28534558,31674
2022,11.737,Republic of Moldova,EURO,2597100,596100,11929
2022,,Réunion,AFRO,,486659,906
2022,249.88,Romania,EURO,19053815,3305048,67341
2022,1695.724,Russian Federation,EURO,145100000,21750711,393277
2022,10.355,Rwanda,AFRO,12955768,132920,1467
2022,,Saba,AMRO,214610,737,2
2022,,Saint Barthélemy,AMRO,10289,5382,5
2022,,"Saint Helena, Ascension and Tristan da Cunha",AFRO,5651,2166,0
2022,1.165,Saint Kitts and Nevis,AMRO,48000,6560,46
2022,2.094,Saint Lucia,AMRO,178696,29741,409
2022,,Saint Martin,AMRO,32489,12104,46
2022,,Saint Pierre and Miquelon,AMRO,5974,3316,2
2022,0.91,Saint Vincent and the Grenadines,AMRO,110696,9521,118
2022,0.913,Samoa,WPRO,199853,15982,29
2022,1.616,San Marino,EURO,33785,22813,120
2022,,Sao Tome and Principe,AFRO,,6279,77
2022,803.616,Saudi Arabia,EMRO,35013414,826667,9502
2022,23.405,Senegal,AFRO,17223497,88896,1968
2022,51.514,Serbia,EURO,6690887,2438130,17480
2022,1.683,Seychelles,AFRO,100447,50355,172
2022,4.074,Sierra Leone,AFRO,8494260,7760,125
2022,375.484,Singapore,WPRO,5453600,2193890,1710
2022,,Sint Eustatius,AMRO,,1212,5
2022,,Sint Maarten,AMRO,42577,10988,89
2022,105.296,Slovakia,EURO,5431235,1858531,20797
2022,54.338,Slovenia,EURO,2108977,1297794,8708
2022,1.619,Solomon Islands,WPRO,728041,24575,153
2022,6.485,Somalia,EMRO,17598000,27300,1361
2022,388.446,South Africa,AFRO,60604992,4046603,102550
2022,5.319,South Sudan,AFRO,13249924,18368,138
2022,1393.2,Spain,EURO,47615034,13651239,116658
2022,89.015,Sri Lanka,SEARO,22156000,671838,16814
2022,33.564,Sudan,EMRO,45038680,63686,4994
2022,3.984,Suriname,AMRO,598000,81581,1393
2022,533.88,Sweden,EURO,10514692,2665176,21627
2022,721.851,Switzerland,EURO,8789726,4365587,13801
2022,,Syrian Arab Republic,EMRO,22125000,57423,3163
2022,8.301,Tajikistan,EURO,9506000,17786,125
2022,544.027,Thailand,SEARO,66877655,4718908,33505
2022,2.048,Timor-Leste,SEARO,1317780,23386,138
2022,7.221,Togo,AFRO,7886000,39339,290
2022,,Tokelau,WPRO,1647,5,0
2022,0.511,Tonga,WPRO,100179,16211,12
2022,23.886,Trinidad and Tobago,AMRO,1367558,185882,4277
2022,41.772,Tunisia,EMRO,11803588,1147477,29279
2022,759.45,Türkiye,EURO,84680273,17004677,101419
2022,52.961,Turkmenistan,EURO,6431000,0,0
2022,,Turks and Caicos Islands,AMRO,44542,6479,36
2022,0.054,Tuvalu,WPRO,10679,2779,0
2022,38.059,Uganda,AFRO,42885900,169715,3630
2022,153.997,Ukraine,EURO,41130432,5354738,110766
2022,417.216,United Arab Emirates,EMRO,9282410,1046359,2348
2022,2880.357,United Kingdom,EURO,67026292,24135084,198937
2022,,United Republic of Tanzania,AFRO,61741120,42111,845
2022,21372.6,United States of America,AMRO,334233854,99027628,1080010
2022,,United States Virgin Islands,AMRO,87146,23721,127
2022,61.017,Uruguay,AMRO,3554915,1002988,7552
2022,59.907,Uzbekistan,EURO,35970275,249217,1637
2022,0.93,Vanuatu,WPRO,301295,12013,14
2022,74.418,Venezuela (Bolivarian Republic of),AMRO,28302000,549548,5830
2022,327.873,Viet Nam,WPRO,98506193,11523567,43181
2022,,Wallis and Futuna,WPRO,11369,3415,7
2022,21.888,Yemen,EMRO,33697000,11945,2159
2022,23.309,Zambia,AFRO,19610769,333746,4019
2022,22.995,Zimbabwe,AFRO,15178979,259981,5637
