Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,month_avg_cases,month
2020-01-30,US,United States of America,AMRO,0,8,0,0,0.266666667,2020-01
2020-02-28,US,United States of America,AMRO,8,64,0,0,1.866666667,2020-02
2020-03-30,US,United States of America,AMRO,20673,146982,556,2662,4897.1,2020-03
2020-04-30,US,United States of America,AMRO,23935,1030306,2111,60461,28572.1,2020-04
2020-05-30,US,United States of America,AMRO,24182,1761681,1251,104274,24379.16667,2020-05
2020-06-30,US,United States of America,AMRO,37583,2606613,439,128250,27373.03333,2020-06
2020-07-30,US,United States of America,AMRO,58708,4425986,1163,155788,60645.76667,2020-07
2020-08-30,US,United States of America,AMRO,46546,5974471,1035,187959,49454.33333,2020-08
2020-09-30,US,United States of America,AMRO,38402,7217084,400,210159,40056.83333,2020-09
2020-10-30,US,United States of America,AMRO,84410,8941511,1063,232497,57480.9,2020-10
2020-11-30,US,United States of America,AMRO,144575,13407557,1506,274712,145830.5333,2020-11
2020-12-30,US,United States of America,AMRO,176774,19368681,2180,348653,198704.1333,2020-12
2021-01-30,US,United States of America,AMRO,156822,25698795,3870,448857,204040.3333,2021-01
2021-02-28,US,United States of America,AMRO,73274,28330091,1966,519853,92937.26667,2021-02
2021-03-30,US,United States of America,AMRO,53256,30048658,618,552702,57285.56667,2021-03
2021-04-30,US,United States of America,AMRO,54396,31938874,832,574018,61073.4,2021-04
2021-05-30,US,United States of America,AMRO,24780,32904922,703,591159,32201.6,2021-05
2021-06-30,US,United States of America,AMRO,10438,33306271,183,600919,12857.36667,2021-06
2021-07-30,US,United States of America,AMRO,89149,34580216,494,609469,42464.83333,2021-07
2021-08-30,US,United States of America,AMRO,150022,38678500,1460,640277,133297.2333,2021-08
2021-09-30,US,United States of America,AMRO,115452,42979222,2155,696151,139501.6667,2021-09
2021-10-30,US,United States of America,AMRO,103121,45551237,1277,742939,85733.83333,2021-10
2021-11-30,US,United States of America,AMRO,56537,48084683,193,776038,81499.93333,2021-11
2021-12-30,US,United States of America,AMRO,389514,53059977,2331,817232,165843.1333,2021-12
2022-01-30,US,United States of America,AMRO,523326,73756878,3604,882540,674086.4,2022-01
2022-02-28,US,United States of America,AMRO,25662,78359790,576,947738,170874.6,2022-02
2022-03-30,US,United States of America,AMRO,32427,79357869,686,974643,33269.3,2022-03
2022-04-30,US,United States of America,AMRO,61915,80545387,288,988638,38781.33333,2022-04
2022-05-30,US,United States of America,AMRO,36051,83207922,87,998533,88751.16667,2022-05
2022-06-30,US,United States of America,AMRO,154793,86309948,625,1008476,102218.7,2022-06
2022-07-30,US,United States of America,AMRO,144834,89973506,520,1020962,122118.6,2022-07
2022-08-30,US,United States of America,AMRO,27073,93034055,129,1035039,93372.4,2022-08
2022-09-30,US,United States of America,AMRO,78175,94970674,1156,1048104,61945.7,2022-09
2022-10-30,US,United States of America,AMRO,0,96197231,0,1060090,40885.23333,2022-10
2022-11-30,US,United States of America,AMRO,0,97320706,0,1069645,37449.16667,2022-11
2022-12-23,US,United States of America,AMRO,501758,99027628,2881,1080010,66864.1,2022-12
2020-01-30,IN,India,SEARO,1,1,0,0,0.033333333,2020-01
2020-02-28,IN,India,SEARO,0,7,0,0,0.2,2020-02
2020-05-30,IN,India,SEARO,180,1251,3,32,41.46666667,2020-03
2020-04-30,IN,India,SEARO,1718,33050,67,1074,1059.966667,2020-04
2020-05-30,IN,India,SEARO,8380,182143,193,5164,4903.333333,2020-05
2020-06-30,IN,India,SEARO,18522,566840,418,16893,12823.23333,2020-06
2020-07-30,IN,India,SEARO,55078,1638870,779,35747,35112.56667,2020-07
2020-08-30,IN,India,SEARO,78512,3621245,971,64469,64175.23333,2020-08
2020-09-30,IN,India,SEARO,80472,6225763,1179,97497,86817.26667,2020-09
2020-10-30,IN,India,SEARO,48268,8137119,551,121641,60817.83333,2020-10
2020-11-30,IN,India,SEARO,38772,9431691,443,137139,43152.4,2020-11
2020-12-30,IN,India,SEARO,21822,10266674,299,148738,26795.5,2020-12
2021-01-30,IN,India,SEARO,13052,10746183,127,154274,15315.8,2021-01
2021-02-28,IN,India,SEARO,16752,11096731,113,157051,12556.1,2021-02
2021-03-30,IN,India,SEARO,53480,12149335,354,162468,34569.8,2021-03
2021-04-30,IN,India,SEARO,386452,18762976,3498,208330,220454.7,2021-04
2021-05-30,IN,India,SEARO,152734,28047534,3128,329100,296085.5,2021-05
2021-06-30,IN,India,SEARO,45951,30362848,817,398454,77177.13333,2021-06
2021-07-30,IN,India,SEARO,41649,31613993,593,423810,40078.63333,2021-07
2021-08-30,IN,India,SEARO,30941,32768880,350,438560,37101.86667,2021-08
2021-09-30,IN,India,SEARO,23529,33739980,311,448062,32370,2021-09
2021-10-30,IN,India,SEARO,12830,34273300,446,458186,16886.43333,2021-10
2021-11-30,IN,India,SEARO,6990,34587822,190,468980,10484.06667,2021-11
2021-12-30,IN,India,SEARO,16764,34838804,220,481080,8067.6,2021-12
2022-01-30,IN,India,SEARO,209918,41302440,959,495050,214695.3667,2022-01
2022-02-28,IN,India,SEARO,8013,42924130,119,513843,68862.96667,2022-02
2022-03-30,IN,India,SEARO,1225,43024440,28,521129,3113.166667,2022-03
2022-04-30,IN,India,SEARO,3688,43075864,50,523803,1714.133333,2022-04
2022-05-30,IN,India,SEARO,2338,43158087,19,524630,2629.966667,2022-05
2022-06-30,IN,India,SEARO,18819,43452164,39,525116,9802.566667,2022-06
2022-07-30,IN,India,SEARO,19673,44019811,45,526357,18352.56667,2022-07
2022-08-30,IN,India,SEARO,7231,44428393,45,527874,13070.6,2022-08
2022-09-30,IN,India,SEARO,3947,44587307,18,528629,5297.133333,2022-09
2022-10-30,IN,India,SEARO,1326,44653592,8,529024,2082.666667,2022-10
2022-11-30,IN,India,SEARO,279,44672347,5,530620,625.1666667,2022-11
2022-12-23,IN,India,SEARO,163,44676678,9,530690,220.1,2022-12
2020-01-30,FR,France,EURO,1,5,0,0,0.166666667,2020-01
2020-02-28,FR,France,EURO,21,38,0,2,1.133333333,2020-02
2020-03-30,FR,France,EURO,2491,39636,291,2602,1319.3,2020-03
2020-04-30,FR,France,EURO,1601,127066,427,24054,2769.633333,2020-04
2020-05-30,FR,France,EURO,126,148114,52,28660,701.6,2020-05
2020-06-30,FR,France,EURO,255,159374,30,29730,371.2666667,2020-06
2020-07-30,FR,France,EURO,1506,179338,15,30120,665.4666667,2020-07
2020-08-30,FR,France,EURO,9349,283106,5,30465,3437.066667,2020-08
2020-09-30,FR,France,EURO,14366,586745,82,31690,9835.566667,2020-09
2020-10-30,FR,France,EURO,26259,1505707,235,35719,30632.06667,2020-10
2020-11-30,FR,France,EURO,12287,2185816,198,51965,22458.6,2020-11
2020-12-30,FR,France,EURO,15452,2563604,969,63701,12592.93333,2020-12
2021-01-30,FR,France,EURO,2957,3084760,819,75224,17326.26667,2021-01
2021-02-28,FR,France,EURO,27422,3595472,185,85846,17122.3,2021-02
2021-03-30,FR,France,EURO,39629,4393863,360,94370,26613.03333,2021-03
2021-04-30,FR,France,EURO,3828,5202620,306,103511,25679.26667,2021-04
2021-05-30,FR,France,EURO,10007,5557673,66,108514,11835.1,2021-05
2021-06-30,FR,France,EURO,1104,5662173,43,110108,3198.633333,2021-06
2021-07-30,FR,France,EURO,21259,5949453,15,110707,9576,2021-07
