Rank,Country,Numbers
1,China,1412600000
2,India,1375586000
3,United States,334233854
4,Indonesia,275773800
5,Pakistan,235825000
6,Nigeria,218541000
7,Brazil,215594089
8,Bangladesh,165158616
9,Russia,145100000
10,Mexico,128533664
11,Japan,124840000
12,Philippines,112900350
13,Ethiopia,105163988
14,Egypt,104271900
15,Vietnam,99460000
16,DR Congo,99010000
17,Iran,86072905
18,Turkey,84680273
19,Germany,84270625
20,France,67975000
21,United Kingdom,67026292
22,Thailand,66878042
23,Tanzania,61741120
24,South Africa,60604992
25,Italy,58853482
26,Myanmar,55294979
27,South Korea,51638809
28,Colombia,51049498
29,Spain,47615034
30,Kenya,47564296
31,Argentina,47327407
32,Algeria,45400000
33,Sudan,45041315
34,Uganda,42885900
35,Iraq,41190700
36,Ukraine,41130432
37,Canada,39065278
38,Poland,37796000
39,Morocco,36825824
40,Uzbekistan,35972134
41,Saudi Arabia,35013414
42,Yemen,33697000
43,Peru,33396698
44,Angola,33086278
45,Afghanistan,32890171
46,Malaysia,32761800
47,Mozambique,31616078
48,Ghana,30832019
49,Ivory Coast,29389150
50,Nepal,29192480
51,Venezuela,28302000
52,Madagascar,26923353
53,Australia,26025788
54,North Korea,25660000
55,Cameroon,24348251
56,Niger,24112753
57,Mali,22594000
58,Sri Lanka,22181000
59,Syria,22125000
60,Burkina Faso,21510181
61,Malawi,21507723
62,Chile,19828563
64,Zambia,19610769
63,Kazakhstan,19382480
65,Romania,19053815
66,Ecuador,18136104
67,Netherlands,17780960
68,Somalia,17598000
69,Senegal,17223497
70,Guatemala,17109746
71,Chad,16818391
72,Cambodia,15552211
73,Zimbabwe,15178979
74,South Sudan,13249924
75,Rwanda,12955768
76,Guinea,12907395
77,Burundi,12574571
78,Benin,12506347
79,Bolivia,12006031
80,Tunisia,11803588
81,Haiti,11743017
82,Belgium,11671737
83,Jordan,11377016
84,Cuba,11113215
85,Dominican Republic,10535535
86,Czech Republic,10525739
87,Sweden,10514692
88,Greece,10432481
89,Portugal,10344802
90,Azerbaijan,10204774
91,Hungary,9689000
92,Israel,9656960
93,Honduras,9546178
94,Tajikistan,9506000
95,United Arab Emirates,9282410
96,Belarus,9255524
97,Papua New Guinea,9122994
98,Austria,9090868
99,Switzerland,8789726
100,Sierra Leone,8494260
